Network Diagram
Discovered Devices:
IP Address           MAC Address          Hostname            
------------------------------------------------------------
10.16.128.1          00:08:E3:FF:FD:9C    Cisco Systems       
10.16.129.32         90:E8:68:2E:B7:37    AzureWave Technology
10.16.129.238        34:F3:9A:92:CE:A8    Intel Corporate     
10.16.131.170        D4:1B:81:8B:28:D1    Chongqing Fugui Electronics
10.16.133.208        76:C5:3B:EB:5A:F5    Unknown             
10.16.134.148        CC:5E:F8:1D:DF:69    Cloud Network Technology Singapore PTE.
10.16.135.43         84:1B:77:0D:00:D9    Intel Corporate     
10.16.135.49         B2:37:B7:A0:A9:3F    Unknown             
10.16.135.59         AE:9D:F7:8D:74:1E    Unknown             
10.16.135.60         AE:1F:83:C4:D3:03    Unknown             
10.16.135.61         14:9F:3C:99:A8:3F    Samsung Electronics 
10.16.135.63         18:D9:8F:8D:1D:3F    Huawei Device       
10.16.135.64         86:6B:8F:55:31:71    Unknown             
10.16.135.65         8E:A3:F4:98:77:30    Unknown             
10.16.135.67         B6:64:0F:8B:5C:B6    Unknown             
10.16.135.69         DE:C2:10:A0:C0:60    Unknown             
10.16.135.70         FA:BB:FC:17:0E:38    Unknown             
10.16.135.71         72:68:D3:1D:09:12    Unknown             
10.16.135.76         50:A6:D8:CC:A3:81    Apple               
10.16.135.77         80:65:7C:C8:4B:5C    Apple               
10.16.135.82         D0:39:57:29:42:07    Liteon Technology   
10.16.135.84         A4:F0:5E:D4:60:61    Guangdong Oppo Mobile Telecommunications
10.16.135.85         9C:3E:53:8B:29:E2    Apple               
10.16.135.87         E6:B1:9C:89:62:60    Unknown             
10.16.135.88         52:D7:9B:1B:A0:52    Unknown             
10.16.135.89         AE:05:7C:5B:E6:DD    Unknown             
10.16.135.90         2E:DA:D4:5A:FD:39    Unknown             
10.16.135.93         32:BE:D8:BF:B8:80    Unknown             
10.16.135.94         F6:FF:9D:F8:F5:2A    Unknown             
10.16.135.98         1A:FD:D5:C2:62:F1    Unknown             
10.16.135.101        34:6F:24:E9:31:0B    AzureWave Technology
10.16.135.102        A8:93:4A:E9:21:CD    Chongqing Fugui Electronics
10.16.135.103        90:DE:80:1D:BC:E6    Shenzhen Century Xinyang Technology
10.16.135.105        6E:03:DF:F4:67:18    Unknown             
